Reference,Quantity,Name,Description,Package,Digi-Key Part,V_Max,R_Off,R_On,T_Trip,Temp_Nom,Manufacturer Part,Newark Part,Mouser Part,Cost,Value,Tol.,P_Max,Manufacturer,Usage,Datasheet,Picture,Tol
"R3,R4,R5,R6",  4,,Generic Resistor,R1206,311-10.0KFRCT-ND,,,,,,..,..,..,..,10K,,0.25,..,..,..,..,1%
"J1,J2",  2,,Header 1x2,1X2HDR-100,609-3469-ND
"C1",  1,100MFD,Small Electrolytic,eeehae101,PCE4705CT-ND
"C2,C3,C4,C5,C8,C9",  6,10MFD,Small Electrolytic,C1206,311-1466-1-ND
"A1",  1,2.4Ghz Antenna,ANTENNA 2.45GHZ 7" RA U.FL PLUG,..,0600-00039-ND
"C6,C7",  2,20pf,Capacitor,C1206,311-1153-1-ND,,,,,,,,,,20pf
"X1",  1,8 Mhz,Crystal,csm-7,XC569CT-ND
"C10",  1,8.2pf,Capacitor,C1206,311-1222-1-ND,,,,,,,,,,8.2pf
"U1",  1,ATMega32A,ATMega32A,40DIP600,ATMEGA32A-PU-ND
"D1",  1,BRIDGE,Bridge,4-SMD,641-1344-5-ND
"Q1",  1,BSS138,BSS138,SOT23,BSS138CT-ND
"J4,J8",  2,Conn Housing 2x1,CONN HOUSING 2POS .100 LOCK DUAL,package name for PCB layout,A26943-ND
"Encl",  1,ENCLOSURE,BOX SLANT ALM (6.88X4.88X2.48),package name for PCB layout,SR17SA-ND
"K1",  1,IC Socket DIP 40 pin,SOCKET IC OPEN FRAME 40POS .6",package name for PCB layout,3M5483-ND
"J5",  1,JTAG,5X2HDR-100,5X2HDR-50,S9013E-05-ND
"U6",  1,LCD Display,20x4 LCD Character Display,LCM-S02004DSR,67-1774-ND
"U3",  1,LD1117S33,LD1117S33,WSOT-223,AP1117E33GDICT-ND
"U5",  1,LD1117S5,LD1117S33,WSOT-223,AP1117E50GDICT-ND
"LP1,LP2,LP3,LP4,LP5,LP6,LP7,LP8",  8,LIGHT PIPE,LIGHT PIPE VERT .450" FLAT SMD,package name for PCB layout,492-1814-ND
"R10",  1,R,Resistor,R1206,311-4.99KFRCT-ND This part is RoHS compliant.,,,,,,..,..,..,..,4.99k,..,..,..
"R7,R8,R9",  3,R,Resistor,R1206,311-910FRCT-ND,,,,,,..,..,..,..,910,..,..,..
"D10,D3,D4,D5,D6,D7,D8,D9",  8,SMP4-SRGY,SMP4-SRGY,PLCC-4,492-1227-1-ND
"S10",  1,SWITCH TOGGLE SPST 6A 125V,SWITCH TOGGLE SPST 6A 125V,package name for PCB layout,M2011LL1W01-ND
"S1,S2,S3,S4,S5,S6,S7,S8,S9",  9,SWITCH1,Single Pole Push Switch,3ESH9-15.0,679-2219-ND
"U7,U8,U9",  3,TLC5917,TLC5917,S016,296-21995-1-ND
"J3",  1,TestPoint,Header 1x3,1X3HDR-100,609-3470-ND
"V1",  1,VARISTOR,Varistor,C1206,732-2549-1-ND,18v,,,,,..,,,
"U2",  1,XBee,MaxStream XBee,XBee,602-1285-ND
"J6,J7",  2,Xbee Header,CONN RECEPT 2MM SINGLE STR 10POS,package name for PCB layout,S5751-10-ND
"spacer1,spacer2,spacer3,spacer4",  4,spacer,ROUND SPACER #4 NYLON 1/8",package name for PCB layout,492-1072-ND
